,l,r,filter_para_l,filter_para_r,oll,olr
0,,,0.2,0.5,[],[]
1,1.025,0.995,0.2,0.5,[1.025],[0.995]
2,1.02,0.99,0.2,0.5,[1.025 1.015],[0.995 0.985]
3,1.0183333333333333,0.9883333333333333,0.2,0.5,[1.025 1.015 1.015],[0.995 0.985 0.985]
4,1.02,0.985,0.2,0.5,[1.025 1.015 1.015 1.025],[0.995 0.985 0.985 0.975]
5,1.0210000000000001,0.9810000000000001,0.2,0.5,[1.025 1.015 1.015 1.025 1.025],[0.995 0.985 0.985 0.975 0.965]
6,1.0250000000000001,0.98,0.2,0.5,[1.025 1.015 1.015 1.025 1.025 1.045],[0.995 0.985 0.985 0.975 0.965 0.975]
7,1.0264285714285715,0.9792857142857142,0.2,0.5,[1.025 1.015 1.015 1.025 1.025 1.045 1.035],[0.995 0.985 0.985 0.975 0.965 0.975 0.975]
8,1.03,0.98,0.2,0.5,[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055],[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985]
9,1.0305555555555557,0.9794444444444443,0.2,0.5,[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035],[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975]
10,1.033,0.9789999999999999,0.2,0.5,[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035 1.055],[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975 0.975]
11,1.035,0.9786363636363635,1.1,1.1,[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035 1.055 1.055],[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975 0.975 0.975]
12,0.94875,0.8970833333333332,0.2,0.5,[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035 1.055 1.055 0.   ],[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975 0.975 0.975 0.   ]
13,0.9561538461538461,0.9038461538461537,0.2,0.5,"[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035 1.055 1.055 0.
 1.045]","[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975 0.975 0.975 0.
 0.985]"
14,0.9617857142857142,0.9089285714285713,0.2,0.5,"[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035 1.055 1.055 0.
 1.045 1.035]","[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975 0.975 0.975 0.
 0.985 0.975]"
15,0.966,0.9139999999999998,0.2,0.5,"[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035 1.055 1.055 0.
 1.045 1.035 1.025]","[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975 0.975 0.975 0.
 0.985 0.975 0.985]"
16,0.9709374999999998,0.9184375,0.2,0.5,"[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035 1.055 1.055 0.
 1.045 1.035 1.025 1.045]","[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975 0.975 0.975 0.
 0.985 0.975 0.985 0.985]"
17,0.974705882352941,0.9223529411764706,0.2,0.5,"[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035 1.055 1.055 0.
 1.045 1.035 1.025 1.045 1.035]","[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975 0.975 0.975 0.
 0.985 0.975 0.985 0.985 0.985]"
18,0.9769444444444443,0.9258333333333333,0.2,0.5,"[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035 1.055 1.055 0.
 1.045 1.035 1.025 1.045 1.035 1.015]","[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975 0.975 0.975 0.
 0.985 0.975 0.985 0.985 0.985 0.985]"
19,0.9805263157894735,0.9289473684210525,0.2,0.5,"[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035 1.055 1.055 0.
 1.045 1.035 1.025 1.045 1.035 1.015 1.045]","[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975 0.975 0.975 0.
 0.985 0.975 0.985 0.985 0.985 0.985 0.985]"
20,0.9832499999999997,0.9317499999999999,0.2,0.5,"[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035 1.055 1.055 0.
 1.045 1.035 1.025 1.045 1.035 1.015 1.045 1.035]","[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975 0.975 0.975 0.
 0.985 0.975 0.985 0.985 0.985 0.985 0.985 0.985]"
21,0.987142857142857,0.9342857142857142,0.2,0.5,"[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035 1.055 1.055 0.
 1.045 1.035 1.025 1.045 1.035 1.015 1.045 1.035 1.065]","[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975 0.975 0.975 0.
 0.985 0.975 0.985 0.985 0.985 0.985 0.985 0.985 0.985]"
22,0.9899518991194813,0.9366122832674201,0.2,0.5,"[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035 1.055 1.055 0.
 1.045 1.035 1.025 1.045 1.035 1.015 1.045 1.035 1.065 1.045]","[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975 0.975 0.975 0.
 0.985 0.975 0.985 0.985 0.985 0.985 0.985 0.985 0.985 0.985]"
23,0.9951610042873492,0.9406445790782184,0.2,0.5,"[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035 1.055 1.055 0.
 1.045 1.035 1.025 1.045 1.035 1.015 1.045 1.035 1.065 1.045 1.055]","[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975 0.975 0.975 0.
 0.985 0.975 0.985 0.985 0.985 0.985 0.985 0.985 0.985 0.985 0.985]"
24,0.9959523396102187,0.9406445703034461,0.2,0.5,"[1.025 1.015 1.015 1.025 1.025 1.045 1.035 1.055 1.035 1.055 1.055 0.
 1.045 1.035 1.025 1.045 1.035 1.015 1.045 1.035 1.065 1.045 1.055 1.075]","[0.995 0.985 0.985 0.975 0.965 0.975 0.975 0.985 0.975 0.975 0.975 0.
 0.985 0.975 0.985 0.985 0.985 0.985 0.985 0.985 0.985 0.985 0.985 0.985]"
