,l,r,x,y,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
0,0.20463325,0.5147779,0.308510401,0.506582609,-3.72E-05,0.00088312,-0.00149492,-0.698642597,0.322717771,9.787009048
1,0.20443338,0.4992318,0.315516263,0.49203139,-3.72E-05,-0.00018088,-0.00096292,-0.696295969,0.330502804,9.808525079
2,0.2043631,0.4993369,0.315467355,0.492129629,-3.72E-05,-0.00018088,0.00010108,-0.70341677,0.318196074,9.791840464
3,0.2043631,0.51437306,0.308686647,0.506203039,-3.72E-05,0.00088312,0.00010108,-0.698658669,0.325043801,9.784509281
4,0.2043631,0.51437306,0.308686647,0.506203039,-3.72E-05,0.00088312,0.00010108,-0.698609809,0.317994042,9.789599117
5,0.20699674,0.5579173,0.286893314,0.546331942,0.00102676,-0.00018088,0.00063308,-0.696205203,0.317711269,9.782451834
6,0.20470715,0.50735486,0.311914251,0.499649732,0.00102676,0.00141512,0.00063308,-0.693855615,0.325278076,9.79673357
7,0.20442052,0.49972984,0.315297391,0.492499118,0.00155876,-0.00018088,-0.00043092,-0.691434937,0.322669303,9.792087062
8,0.20727037,0.55835634,0.28666825,0.54673368,0.00049476,-0.00018088,-0.00096292,-0.698639992,0.322426901,9.777365291
9,0.20470715,0.4993369,0.315481392,0.49213204,0.00102676,-0.00018088,0.00010108,-0.698677998,0.327733434,9.794064714
10,0.2067199,0.567322,0.281670782,0.554844526,-3.72E-05,0.00141512,-0.00096292,-0.693797637,0.31721027,9.768070256
11,0.9757982,1.0649247,0.02717286,0.997529218,-0.00429324,0.00886312,0.00329308,-0.008834287,0.031152396,0.120738175
12,0.20644699,0.5067302,0.312269557,0.499078015,-0.00056924,0.00088312,0.00116508,-0.693818269,0.320045338,9.782447568
13,0.21640882,0.5066426,0.31274151,0.499071818,-0.00110124,-0.00018088,-0.00043092,-0.69141757,0.320198841,9.789764913
14,0.2043631,0.5062442,0.312400467,0.498607573,-0.00056924,0.00035112,0.00010108,-0.696272739,0.327377897,9.78450498
15,0.2067199,0.55835634,0.286639831,0.546727788,-3.72E-05,-0.00018088,-0.00096292,-0.691415616,0.319980703,9.782532599
16,0.20490728,0.5062442,0.312423298,0.498611584,0.00049476,0.00035112,0.00063308,-0.691400846,0.317800109,9.789854244
17,0.2043631,0.5062442,0.312400467,0.498607573,-0.00056924,-0.00018088,0.00063308,-0.691434286,0.32259657,9.789675618
18,0.2026691,0.5066426,0.312150308,0.498968091,-0.00056924,-0.00018088,-0.00043092,-0.69619044,0.315531677,9.789773442
19,0.2043631,0.51437306,0.308686647,0.506203039,-3.72E-05,0.00088312,0.00010108,-0.69381892,0.320118041,9.784858004
20,0.20245841,0.49972984,0.315217643,0.492485396,0.00155876,0.00035112,-0.00043092,-0.698593744,0.315669046,9.792099855
21,0.20644699,0.5579173,0.286865014,0.546326083,-0.00056924,-0.00018088,0.00010108,-0.691431681,0.3223057,9.780031861
22,0.20517816,0.5066426,0.312255376,0.498986578,0.00102676,-0.00018088,-0.00043092,-0.693836939,0.322661206,9.789590588
23,0.20490728,0.5062442,0.312423298,0.498611584,0.00102676,-0.00018088,0.00010108,-0.689013261,0.320061445,9.787438536
24,0.20416349,0.44635707,0.336440015,0.441808513,-3.72E-05,-0.00018088,0.00116508,-0.689016518,0.320425049,9.799493736
25,0.2043631,0.51437306,0.308686647,0.506203039,-3.72E-05,0.00088312,0.00010108,-0.696207156,0.317929407,9.789684148
26,0.2067199,0.567322,0.281670782,0.554844526,-0.00056924,0.00088312,-0.00096292,-0.69381436,0.319609002,9.767980925
27,0.2067199,0.55835634,0.286639831,0.546727788,-3.72E-05,-0.00018088,-0.00043092,-0.693833682,0.322297602,9.777535388
28,0.20644699,0.5067302,0.312269557,0.499078015,-3.72E-05,0.00088312,0.00116508,-0.696217366,0.319600931,9.765484416
29,0.2067199,0.5649229,0.283016209,0.552677732,-0.00056924,0.00141512,-0.00096292,-0.703405698,0.316959827,9.750852984
30,0.20699674,0.55555797,0.288172237,0.544186741,0.00049476,-0.00071288,0.00010108,-0.693827169,0.321570395,9.753424987
31,0.6044907,0.98012716,-0.074653045,0.857527688,0.00634676,-0.02092988,0.00010108,-0.479743543,0.286457992,9.90208445
32,0.21208,0.81870884,0.060754106,0.745115017,-0.00163324,0.09451712,-0.00468692,-0.571736356,0.387096193,9.651410164
33,1.1364062,1.04133,0.212209503,1.024257242,0.02709576,-0.02146188,-0.00202692,-0.525827779,-0.340324779,9.851278627
34,0.20544729,0.5122506,0.309714005,0.504231213,0.14041376,-0.19223788,-0.10257692,-1.56984394,0.519606261,10.09492395
35,0.26935014,0.78837913,0.10439674,0.730862754,0.17286676,-0.35290488,-0.09938492,-0.504128731,0.335511526,10.15287174
36,0.21856852,0.5012443,0.315232299,0.494024579,0.17659076,0.01258712,0.05223808,-1.158612526,-0.216345011,9.63424258
37,0.17912385,0.49558926,0.31614689,0.488443825,0.00209076,0.17165912,0.20120208,-1.257749914,-0.818226029,9.882407737
