%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1682488143277041545,366,1682488142802907943,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004256,-0.009576,-0.004788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68667,0.016748,9.62295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488143277828433,367,1682488143052639961,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004256,-0.00798,-0.004788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684277,0.019141,9.615771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488143303384191,368,1682488143302644968,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004256,-0.009044,-0.004256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.681885,0.011963,9.637304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488143555670458,369,1682488143553345918,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004256,-0.009044,-0.003192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689062,0.023926,9.620557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488143805050893,370,1682488143802700042,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004256,-0.00798,-0.003192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684277,0.016748,9.613379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488144055751664,371,1682488144052982091,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004256,-0.00798,-0.003192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684277,0.023926,9.618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488144304358440,372,1682488144303189992,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00532,-0.009044,-0.00266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.681885,0.023926,9.610987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488144554148570,373,1682488144553195953,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00532,-0.007448,-0.00266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679492,0.016748,9.625341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488144804525897,374,1682488144803034067,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005852,-0.009044,-0.003724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6771,0.019141,9.620557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488145054667960,375,1682488145052793979,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004788,-0.009044,-0.004256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684277,0.019141,9.606201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488145304251941,376,1682488145302917957,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00532,-0.009044,-0.003192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684277,0.014355,9.62295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488145553359923,377,1682488145552834033,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004256,-0.007448,-0.004256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679492,0.023926,9.596631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488145807945345,378,1682488145803248882,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488146053492744,379,1682488146052687883,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003724,-0.00798,-0.002128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679492,0.021533,9.610987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488146304719722,380,1682488146302797079,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003192,-0.009044,-0.003724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6771,0.021533,9.618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488146556332227,381,1682488146553353071,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003724,-0.008512,-0.003192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.681885,0.014355,9.613379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488146803787055,382,1682488146802755117,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004256,-0.009044,-0.004256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6771,0.021533,9.610987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488147056409369,383,1682488147053193092,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004788,-0.008512,-0.00266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6771,0.023926,9.618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488147303084080,384,1682488147302484035,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003724,-0.009044,-0.00266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6771,0.019141,9.618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488147554214962,385,1682488147552778959,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003724,-0.009044,-0.003724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.681885,0.026318,9.618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488147808787883,386,1682488147803208112,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004256,-0.00798,-0.003192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679492,0.021533,9.613379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488148055670254,387,1682488148052747964,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005852,-0.008512,-0.003724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684277,0.026318,9.620557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488148304689953,388,1682488148302887916,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003724,-0.009044,-0.003192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6771,0.019141,9.608594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488148553503138,389,1682488148552835941,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00532,-0.009044,-0.003724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679492,0.019141,9.618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488148804901160,390,1682488148803992033,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00532,-0.009044,-0.003192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.674707,0.021533,9.615771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488149054734571,391,1682488149053247928,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004256,-0.009044,-0.002128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.674707,0.021533,9.627734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488149304415375,392,1682488149302575111,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004256,-0.00798,-0.003192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.681885,0.023926,9.618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488149554601501,393,1682488149553329944,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003724,-0.00798,-0.004256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679492,0.021533,9.596631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488149803820631,394,1682488149802613973,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004256,-0.009044,-0.003724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679492,0.019141,9.606201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488150055914290,395,1682488150053287982,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004256,-0.00798,-0.002128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.681885,0.021533,9.594238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488150305282015,396,1682488150302931070,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003724,-0.007448,-0.004256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689062,0.023926,9.579883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488150558005164,397,1682488150553366899,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004788,-0.009576,-0.003192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679492,0.019141,9.582275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488150804769407,398,1682488150802933931,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01064,-0.029793,-0.003192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466553,0.052637,9.721045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488151055175120,399,1682488151053632020,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.085654,-0.00798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.557471,-0.052637,9.479395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488151304160026,400,1682488151303312063,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031389,-0.030325,-0.00532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516797,0.6771,9.649267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488151554564437,401,1682488151552658081,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144707,-0.201101,-0.10587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.550391,-0.143555,9.957911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682488151805221768,402,1682488151802719116,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17716,-0.361768,-0.102678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.490479,0.011963,9.972265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
