%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,correctecd_l,correctecd_r,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1.68E+18,2486,1.68E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,-3.72E-05,0.00088312,-0.00149492,0,0,0,0,0,0,0,0,0,-0.698642597,0.322717771,9.787009048,0.20463325,0.5147779,0,0,0,0,0,0,0
1.68E+18,2487,1.68E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,-3.72E-05,-0.00018088,-0.00096292,0,0,0,0,0,0,0,0,0,-0.696295969,0.330502804,9.808525079,0.20443338,0.4992318,0,0,0,0,0,0,0
1.68E+18,2488,1.68E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,-3.72E-05,-0.00018088,0.00010108,0,0,0,0,0,0,0,0,0,-0.70341677,0.318196074,9.791840464,0.2043631,0.4993369,0,0,0,0,0,0,0
1.68E+18,2489,1.68E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,-3.72E-05,0.00088312,0.00010108,0,0,0,0,0,0,0,0,0,-0.698658669,0.325043801,9.784509281,0.2043631,0.51437306,0,0,0,0,0,0,0
1.68E+18,2490,1.68E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,-3.72E-05,0.00088312,0.00010108,0,0,0,0,0,0,0,0,0,-0.698609809,0.317994042,9.789599117,0.2043631,0.51437306,0,0,0,0,0,0,0
1.68E+18,2491,1.68E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,0.00102676,-0.00018088,0.00063308,0,0,0,0,0,0,0,0,0,-0.696205203,0.317711269,9.782451834,0.20699674,0.5579173,0,0,0,0,0,0,0
1.68E+18,2492,1.68E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,0.00102676,0.00141512,0.00063308,0,0,0,0,0,0,0,0,0,-0.693855615,0.325278076,9.79673357,0.20470715,0.50735486,0,0,0,0,0,0,0
1.68E+18,2493,1.68E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,0.00155876,-0.00018088,-0.00043092,0,0,0,0,0,0,0,0,0,-0.691434937,0.322669303,9.792087062,0.20442052,0.49972984,0,0,0,0,0,0,0
1.68E+18,2494,1.68E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,0.00049476,-0.00018088,-0.00096292,0,0,0,0,0,0,0,0,0,-0.698639992,0.322426901,9.777365291,0.20727037,0.55835634,0,0,0,0,0,0,0
1.68E+18,2495,1.68E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,0.00102676,-0.00018088,0.00010108,0,0,0,0,0,0,0,0,0,-0.698677998,0.327733434,9.794064714,0.20470715,0.4993369,0,0,0,0,0,0,0
1.68E+18,2496,1.68E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,-3.72E-05,0.00141512,-0.00096292,0,0,0,0,0,0,0,0,0,-0.693797637,0.31721027,9.768070256,0.2067199,0.567322,0,0,0,0,0,0,0
1.68E+18,2497,1.68E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,-0.00429324,0.00886312,0.00329308,0,0,0,0,0,0,0,0,0,-0.008834287,0.031152396,0.120738175,0.9757982,1.0649247,0,0,0,0,0,0,0
1.68E+18,2498,1.68E+18,imu_of_uwb_link,0,0,0.021814885,0.999762027,0,0,0,0,0,0,0,0,0,-0.00056924,0.00088312,0.00116508,0,0,0,0,0,0,0,0,0,-0.693818269,0.320045338,9.782447568,0.20644699,0.5067302,0,0,0,0,0,0,0
