%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1680087726251503823,210,1680087726250297069,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016704,-0.001108,0.038581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.288965,-0.102998,9.352588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087726501822468,211,1680087726501226902,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061393,-0.001108,0.01996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.296142,-0.323115,9.491358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087726751091166,212,1680087726750546932,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048093,0.016448,0.060393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.29375,-0.114961,9.441113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087727001045281,213,1680087727000510931,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.009,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087727251990645,214,1680087727250638961,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011384,0.005276,0.032729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.269824,-0.332686,9.534424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087727502775385,215,1680087727501027107,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138643,-0.071334,-0.041753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.477979,0.193682,9.194677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087727751054916,216,1680087727750540018,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038093,-0.011748,0.020492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.13584,0.30374,9.017627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087728001388145,217,1680087728000560045,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032665,0.01166,-0.000788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.181299,-0.07668,9.687549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087728254392520,218,1680087728251179933,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.159816,0.082418,0.033261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.231543,-0.370967,9.388476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087728501672884,219,1680087728500839948,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107255,-0.122939,-0.038029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.044922,-0.260908,9.673193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087728751720592,220,1680087728751071929,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021069,0.02762,0.064649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.544971,-0.174775,9.359766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087729003382519,221,1680087729001308917,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043305,-0.013345,0.0173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.217188,-0.117354,9.450684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087729251094446,222,1680087729250432014,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083846,-0.044733,-0.026325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.511475,0.186504,9.352588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087729501600644,223,1680087729500961065,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049265,-0.00164,-0.021537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.233935,-0.004902,9.510498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087729751217988,224,1680087729750649929,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001808,-0.016537,-0.026857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.281787,0.200859,9.433935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087730001025904,225,1680087730000500917,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001808,0.002616,0.028473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.174121,0.074053,9.486572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087730251701113,226,1680087730250715017,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028517,-0.002704,-0.015152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.21958,0.243926,9.256885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
