time,left_length,right_length,x,y
1.68E+18,0.84,0.97,-0.196083333,0.783547435
1.68E+18,0,0,0,0
1.68E+18,0.65,0.76,-0.12925,0.577171777
1.68E+18,0.62,0.68,-0.065,0.523737745
1.68E+18,0.58,0.62,-0.04,0.468459256
1.68E+18,0.6,0.56,0.038666667,0.445282635
1.68E+18,0.61,0.51,0.093333333,0.416249814
1.68E+18,0.59,0.5,0.08175,0.399852128
1.68E+18,0.57,0.48,0.07875,0.375967648
1.68E+18,0.57,0.46,0.094416667,0.361503941
1.68E+18,0.54,0.44,0.081666667,0.33200858
1.68E+18,0.51,0.42,0.06975,0.301261922
1.68E+18,0.51,0.42,0.06975,0.301261922
1.68E+18,0.52,0.42,0.078333333,0.306740647
1.68E+18,0.5,0.48,0.016333333,0.337212115
1.68E+18,0.46,0.5,-0.032,0.323866286
1.68E+18,0.43,0.53,-0.08,0.319459064
1.68E+18,0.4,0.55,-0.11875,0.306578796
1.68E+18,0.39,0.6,-0.17325,0.318828466
1.68E+18,0.33,0.64,-0.250583333,0.276279011
1.68E+18,0.33,0.66,-0.27225,0.278831169
1.68E+18,0.31,0.66,-0.282916667,0.259528932
1.68E+18,0.31,0.66,-0.282916667,0.259528932
1.68E+18,0.3,0.67,-0.299083333,0.2499986
1.68E+18,0.29,0.67,-0.304,0.239972412
1.68E+18,0.27,0.68,-0.324583333,0.218878522
1.68E+18,0.24,0.67,-0.326083333,0.188578414
1.68E+18,0.26,0.68,-0.329,0.208377631
1.68E+18,0.27,0.69,-0.336,0.217589237
1.68E+18,0.28,0.69,-0.331416667,0.228231905
1.68E+18,0.27,0.69,-0.336,0.217589237
1.68E+18,0.28,0.68,-0.32,0.229284801
1.68E+18,0.29,0.67,-0.304,0.239972412
1.68E+18,0.3,0.65,-0.277083333,0.24912343
1.68E+18,0.31,0.66,-0.282916667,0.259528932
1.68E+18,0.31,0.66,-0.282916667,0.259528932
1.68E+18,0.3,0.66,-0.288,0.249759904
1.68E+18,0.33,0.66,-0.27225,0.278831169
1.68E+18,0.37,0.6,-0.185916667,0.301973
1.68E+18,0.39,0.55,-0.125333333,0.298699807
1.68E+18,0.46,0.45,0.007583333,0.292041654
1.68E+18,0.5,0.4,0.075,0.280718914
1.68E+18,0.56,0.36,0.153333333,0.278768747
1.68E+18,0.64,0.28,0.276,0.228969532
1.68E+18,0.68,0.25,0.33325,0.197779009
1.68E+18,0.74,0.2,0.423,0.107705422
1.68E+18,0.76,0.18,0.454333333,0.042634887
1.68E+18,0.77,0.18,0.467083333,0.016956402
1.68E+18,0.77,0.17,0.47,-0.05
1.68E+18,0.77,0.15,0,0
1.68E+18,0.74,0.16,0.435,0.03587782
1.68E+18,0.73,0.14,0.42775,0.007270739
1.68E+18,0.72,0.19,0.401916667,0.110352715
1.68E+18,0.69,0,0,0
1.68E+18,0.66,0.24,0.315,0.189530791
1.68E+18,0.62,0.28,0.255,0.226360272
1.68E+18,0.58,0.31,0.20025,0.243513096
1.68E+18,0.53,0.39,0.107333333,0.289086354
1.68E+18,0.47,0.44,0.02275,0.291661291
1.68E+18,0.44,0.48,-0.030666667,0.297936137
1.68E+18,0.41,0.51,-0.076666667,0.293834586
1.68E+18,0.37,0.56,-0.14725,0.286997682
1.68E+18,0.35,0.58,-0.17825,0.278141642
1.68E+18,0.35,0.6,-0.197916667,0.284782008
1.68E+18,0.35,0.64,-0.23925,0.294687449
1.68E+18,0.33,0.67,-0.283333333,0.279578856
1.68E+18,0.33,0.65,-0.261333333,0.277726851
1.68E+18,0.33,0.64,-0.250583333,0.276279011
1.68E+18,0.33,0.65,-0.261333333,0.277726851
1.68E+18,0.35,0.62,-0.21825,0.290318876
1.68E+18,0.35,0.56,-0.15925,0.270451927
1.68E+18,0.36,0.53,-0.126083333,0.265203098
1.68E+18,0.41,0.46,-0.03625,0.263904345
1.68E+18,0.42,0.42,0,0.243938769
1.68E+18,0.5,0.38,0.088,0.265366454
1.68E+18,0.56,0.33,0.170583333,0.253564369
1.68E+18,0.6,0.29,0.229916667,0.231404205
1.68E+18,0.65,0.25,0.3,0.2
1.68E+18,0.69,0.24,0.34875,0.184996676
1.68E+18,0.71,0.2,0.38675,0.130206652
1.68E+18,0.71,0.18,0.393083333,0.104063276
1.68E+18,0.72,0.17,0.407916667,0.081354456
1.68E+18,0.7,0.15,0.389583333,0.070311373
1.68E+18,0.68,0.19,0.35525,0.131789542
1.68E+18,0.65,0.2,0.31875,0.149119154
1.68E+18,0.64,0.21,0.304583333,0.159949978
1.68E+18,0.6,0.23,0.255916667,0.175735818
1.68E+18,0.57,0.29,0.200666667,0.222457132
1.68E+18,0.55,0.34,0.15575,0.257882993
1.68E+18,0.55,0.36,0.144083333,0.274484195
1.68E+18,0.56,0.36,0.153333333,0.278768747
1.68E+18,0.55,0.36,0.144083333,0.274484195
