time,left_length,right_length,x,y
1.68009E+18,0.76,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.76,0.52,0.256,0.468135118
1.68009E+18,0.76,0,0,0
1.68009E+18,0.74,0,0,0
1.68009E+18,0.74,0.4,0.323,0.349338203
1.68009E+18,0.75,0,0,0
1.68009E+18,0.75,0.37,0.354666667,0.315939279
1.68009E+18,0.74,0.44,0.295,0.38997159
1.68009E+18,0.75,0,0,0
1.68009E+18,0.75,0.51,0.252,0.457736152
1.68009E+18,0.75,0.48,0.27675,0.429436583
1.68009E+18,0.76,0.44,0.32,0.38954522
1.68009E+18,0.77,0.41,0.354,0.356428345
1.68009E+18,0.78,0.4,0.373666667,0.343158012
1.68009E+18,0.77,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.76,0.31,0.40125,0.24299904
1.68009E+18,0.77,0.31,0.414,0.238277644
1.68009E+18,0.77,0,0,0
1.68009E+18,0.78,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.77,0.29,0.424,0.212152627
1.68009E+18,0.76,0,0,0
1.68009E+18,0.76,0.28,0.416,0.204841127
1.68009E+18,0.75,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.76,0.28,0.416,0.204841127
1.68009E+18,0.76,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.75,0.28,0.403416667,0.210201831
1.68009E+18,0.76,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.74,0.39,0.329583333,0.338876364
1.68009E+18,0.74,0.54,0.213333333,0.482999896
1.68009E+18,0.74,0.59,0.16625,0.524639833
1.68009E+18,0.75,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.73,0.66,0.081083333,0.572635923
1.68009E+18,0.72,0,0,0
1.68009E+18,0.73,0.6,0.144083333,0.529387602
1.68009E+18,0.74,0,0,0
1.68009E+18,0.75,0.55,0.216666667,0.493650214
1.68009E+18,0.74,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.74,0.8,-0.077,0.655599745
1.68009E+18,0.75,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.78,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.78,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.77,0.83,-0.08,0.687902433
1.68009E+18,0.76,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.74,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.74,0.68,0.071,0.590280407
1.68009E+18,0.74,0,0,0
1.68009E+18,0.73,0,0,0
1.68009E+18,0.74,0,0,0
1.68009E+18,0.74,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.77,0.68,0.10875,0.602551483
1.68009E+18,0.77,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.74,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.74,0,0,0
1.68009E+18,0.78,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.76,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.73,0,0,0
1.68009E+18,0.72,0,0,0
1.68009E+18,0.73,0,0,0
1.68009E+18,0.73,0,0,0
1.68009E+18,0.73,0,0,0
1.68009E+18,0.73,0,0,0
1.68009E+18,0.74,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.74,0,0,0
1.68009E+18,0.73,0,0,0
1.68009E+18,0.73,0,0,0
1.68009E+18,0.74,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.74,0,0,0
1.68009E+18,0.74,0,0,0
1.68009E+18,0.74,0,0,0
1.68009E+18,0.74,0,0,0
1.68009E+18,0.75,0,0,0
1.68009E+18,0.75,0.57,0.198,0.510799429
1.68009E+18,0.75,0,0,0
1.68009E+18,0.75,0.48,0.27675,0.429436583
1.68009E+18,0.75,0,0,0
1.68009E+18,0.77,0,0,0
1.68009E+18,0.78,0,0,0
1.68009E+18,0.78,0,0,0
1.68009E+18,0.78,0,0,0
1.68009E+18,0.79,0.34,0.42375,0.26667955
