%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1680087434751430913,22,1680087434750513076,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032,-0.000576,-0.000256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051904,0.409014,9.701904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087435003384819,23,1680087435001156091,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032,0.000488,-0.000788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054297,0.406621,9.673193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087435252791017,24,1680087435251195907,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000212,0.00102,0.000808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051904,0.411406,9.697119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087435500930131,25,1680087435500519037,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032,-4.4e-05,0.000276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056689,0.411406,9.697119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087435758565027,26,1680087435750401020,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032,-4.4e-05,0.000808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056689,0.416191,9.685156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087436003082527,27,1680087436002526998,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000744,0.000488,0.000276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056689,0.418584,9.685156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087436251939610,28,1680087436251398086,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000212,-4.4e-05,0.00134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.059082,0.416191,9.677979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087436503368516,29,1680087436501981973,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000212,-0.001108,-0.000256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054297,0.409014,9.692334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087436751547839,30,1680087436750490903,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000744,0.001552,0.000808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054297,0.409014,9.687549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680087437001773620,31,1680087437000616073,imu_of_uwb_link,0.0,0.0,0.0218148850346,0.99976202708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000212,0.000488,0.000276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049512,0.409014,9.697119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
